"","fips_code","civilian_labor_force_2018","employed_2018","unemployed_2018","unemployment_rate_2018","civilian_labor_force_2019","employed_2019","unemployed_2019","unemployment_rate_2019","civilian_labor_force_2020","employed_2020","unemployed_2020","unemployment_rate_2020","civilian_labor_force_2021","employed_2021","unemployed_2021","unemployment_rate_2021","civilian_labor_force_2022","employed_2022","unemployed_2022","unemployment_rate_2022"
"81","02158",2681,2187,494,18.4,2660,2177,483,18.2,2291,1815,476,20.8,2364,1903,461,19.5,2254,1963,291,12.9
"82","02164",744,668,76,10.2,711,645,66,9.3,613,543,70,11.4,654,597,57,8.7,638,601,37,5.8
"83","02170",48082,44743,3339,6.9,48281,45242,3039,6.3,48442,44198,4244,8.8,49399,46004,3395,6.9,49942,47639,2303,4.6
"84","02180",4101,3668,433,10.6,4032,3622,410,10.2,3943,3507,436,11.1,4038,3645,393,9.7,4138,3854,284,6.9
"85","02185",3413,3197,216,6.3,3554,3346,208,5.9,3164,2969,195,6.2,2906,2717,189,6.5,2969,2820,149,5
"86","02188",2924,2550,374,12.8,2912,2532,380,13,2943,2568,375,12.7,2867,2538,329,11.5,2787,2537,250,9
"87","02220",4370,4204,166,3.8,4405,4240,165,3.7,4123,3822,301,7.3,4457,4252,205,4.6,4529,4404,125,2.8
"88","02240",2943,2681,262,8.9,2877,2641,236,8.2,2949,2720,229,7.8,3220,3006,214,6.6,3252,3083,169,5.2
"89","02282",248,229,19,7.7,251,234,17,6.8,279,255,24,8.6,311,289,22,7.1,312,296,16,5.1
"90","02290",2542,2193,349,13.7,2448,2128,320,13.1,2338,2041,297,12.7,2431,2132,299,12.3,2363,2177,186,7.9
"91","04001",19921,17949,1972,9.9,19794,17822,1972,10,19585,17105,2480,12.7,18917,17184,1733,9.2,18688,17253,1435,7.7
"92","04003",48079,45396,2683,5.6,48756,45960,2796,5.7,50270,46788,3482,6.9,49009,46533,2476,5.1,48819,46666,2153,4.4
"93","04005",73976,69914,4062,5.5,74740,70485,4255,5.7,72315,65369,6946,9.6,71853,67427,4426,6.2,74051,70842,3209,4.3
"94","04007",20753,19550,1203,5.8,20753,19585,1168,5.6,20432,18882,1550,7.6,20440,19384,1056,5.2,20410,19559,851,4.2
"95","04009",14393,13663,730,5.1,14955,14225,730,4.9,15470,14505,965,6.2,15730,15053,677,4.3,16113,15534,579,3.6
"96","04011",4141,3970,171,4.1,4345,4173,172,4,4324,4094,230,5.3,4364,4183,181,4.1,4766,4630,136,2.9
"97","04012",8645,8108,537,6.2,8998,8465,533,5.9,8757,8139,618,7.1,8622,8161,461,5.3,8906,8487,419,4.7
"98","04013",2154368,2065371,88997,4.1,2228930,2136668,92262,4.1,2266227,2100505,165722,7.3,2320686,2213563,107123,4.6,2380680,2301171,79509,3.3
"99","04015",82532,77849,4683,5.7,84532,79631,4901,5.8,86297,77769,8528,9.9,87413,82426,4987,5.7,89853,85787,4066,4.5
"100","04017",39095,36096,2999,7.7,39461,36512,2949,7.5,39345,35402,3943,10,39418,36799,2619,6.6,39644,37589,2055,5.2
"101","04019",470435,449635,20800,4.4,482230,460541,21689,4.5,481295,444630,36665,7.6,483156,458436,24720,5.1,489775,471177,18598,3.8
"102","04021",174703,165995,8708,5,184037,174871,9166,5,188734,174798,13936,7.4,193183,183710,9473,4.9,199232,191531,7701,3.9
"103","04023",18714,16997,1717,9.2,18992,17355,1637,8.6,18862,16722,2140,11.3,18914,17246,1668,8.8,18887,17464,1423,7.5
"104","04025",101624,97126,4498,4.4,103261,98594,4667,4.5,103874,96213,7661,7.4,105227,100681,4546,4.3,107575,103849,3726,3.5
"105","04027",94341,78393,15948,16.9,96985,80821,16164,16.7,95256,78932,16324,17.1,93648,81412,12236,13.1,97765,85496,12269,12.5
"106","05001",9016,8717,299,3.3,9405,9127,278,3,9312,8931,381,4.1,9351,9030,321,3.4,9344,9038,306,3.3
"107","05003",7782,7373,409,5.3,7648,7240,408,5.3,7091,6415,676,9.5,6769,6275,494,7.3,6779,6406,373,5.5
"108","05005",16284,15618,666,4.1,16201,15560,641,4,16365,15366,999,6.1,16239,15619,620,3.8,16572,15979,593,3.6
"109","05007",133818,129967,3851,2.9,138076,134489,3587,2.6,142227,135842,6385,4.5,144313,140227,4086,2.8,151719,148103,3616,2.4
"110","05009",15801,15253,548,3.5,15943,15441,502,3.1,15651,14808,843,5.4,15757,15277,480,3,15896,15438,458,2.9
"111","05011",4455,4263,192,4.3,4447,4266,181,4.1,4311,4052,259,6,4072,3877,195,4.8,4093,3889,204,5
"112","05013",2427,2335,92,3.8,2417,2312,105,4.3,2384,2257,127,5.3,2374,2293,81,3.4,2372,2298,74,3.1
"113","05015",12530,12130,400,3.2,12728,12336,392,3.1,12572,11845,727,5.8,12657,12219,438,3.5,12552,12182,370,2.9
"114","05017",3337,3112,225,6.7,3230,3009,221,6.8,3175,2836,339,10.7,3039,2780,259,8.5,2987,2801,186,6.2
"115","05019",9633,9281,352,3.7,9626,9263,363,3.8,9145,8589,556,6.1,8768,8347,421,4.8,8532,8147,385,4.5
"116","05021",5767,5517,250,4.3,5630,5358,272,4.8,5476,5137,339,6.2,5389,5172,217,4,5446,5229,217,4
"117","05023",9066,8660,406,4.5,9158,8750,408,4.5,9080,8375,705,7.8,8948,8527,421,4.7,8986,8605,381,4.2
"118","05025",3246,3122,124,3.8,3220,3095,125,3.9,3215,3017,198,6.2,3106,2980,126,4.1,3093,2973,120,3.9
"119","05027",8962,8543,419,4.7,9134,8733,401,4.4,8944,8319,625,7,8761,8288,473,5.4,8832,8447,385,4.4
"120","05029",8117,7766,351,4.3,8235,7884,351,4.3,8314,7801,513,6.2,8262,7913,349,4.2,8411,8096,315,3.7
"121","05031",54180,52546,1634,3,55771,54231,1540,2.8,55924,52892,3032,5.4,56455,54602,1853,3.3,57622,56034,1588,2.8
"122","05033",26815,25870,945,3.5,26696,25820,876,3.3,26322,24863,1459,5.5,25890,24948,942,3.6,26319,25473,846,3.2
"123","05035",21057,20151,906,4.3,21081,20192,889,4.2,20850,19069,1781,8.5,20399,19285,1114,5.5,20626,19791,835,4
"124","05037",7402,7100,302,4.1,7348,7043,305,4.2,7171,6724,447,6.2,6982,6673,309,4.4,6978,6721,257,3.7
"125","05039",2829,2711,118,4.2,2805,2677,128,4.6,2784,2631,153,5.5,2760,2645,115,4.2,2737,2627,110,4
"126","05041",5389,5149,240,4.5,5368,5132,236,4.4,5223,4847,376,7.2,4928,4633,295,6,4969,4707,262,5.3
"127","05043",7792,7415,377,4.8,7773,7375,398,5.1,7619,7080,539,7.1,7475,7094,381,5.1,7445,7117,328,4.4
"128","05045",61614,59635,1979,3.2,62466,60621,1845,3,61390,57974,3416,5.6,61389,59233,2156,3.5,63157,61304,1853,2.9
