"","county_fips","DEMOCRAT","REPUBLICAN","LIBERTARIAN","total_votes","Perc_Dem","Perc_Rep","Perc_Lib"
"497",13305,7912,30244,272,38428,20.5891537420631,78.703029041324,0.707817216612886
"498",13307,1724,2584,14,4322,39.8889403054142,59.7871355853771,0.3239241092087
"499",13309,2052,4994,34,7080,28.9830508474576,70.5367231638418,0.480225988700565
"500",13311,7926,39342,696,47964,16.5248936702527,82.0240180135101,1.45108831623718
"501",13313,25930,74226,1194,101350,25.5846077947706,73.2372964972866,1.17809570794277
"502",13315,2518,7424,44,9986,25.2153014219908,74.3440817144002,0.440616863609053
"503",13317,6578,9260,92,15930,41.293157564344,58.1293157564344,0.577526679221595
"504",13319,6812,8754,86,15652,43.5215946843854,55.9289547661641,0.54945054945055
"505",13321,7202,21026,200,28428,25.3341775714085,73.9622906993105,0.703531729280991
"506",15003,190178,74265,2991,267434,71.1121248607133,27.769468354809,1.11840678447767
"507",15001,46096,15156,798,62050,74.2884770346495,24.4254633360193,1.28605962933118
"508",15007,16974,5711,312,22997,73.8096273426969,24.8336739574727,1.35669869983041
"509",15009,37646,11226,815,49687,75.7662970193411,22.5934349024896,1.64026807816934
"510",16001,76656,87579,1174,165409,46.3433065915398,52.9469375910622,0.709755817398086
"511",16003,367,1425,13,1805,20.3324099722992,78.9473684210526,0.7202216066482
"512",16005,9054,14480,233,23767,38.0948373795599,60.9248117137207,0.980350906719401
"513",16007,196,1871,20,2087,9.3914710110206,89.6502156205079,0.95831336847149
"514",16009,503,2662,38,3203,15.7040274742429,83.1095847642835,1.18638776147362
"515",16011,1750,9491,75,11316,15.4648285613291,83.8723930717568,0.662778366914104
"516",16013,6006,3121,127,9254,64.9016641452345,33.7259563432029,1.37237951156257
"517",16015,673,2172,31,2876,23.4005563282337,75.5215577190542,1.0778859527121
"518",16017,5467,13348,144,18959,28.8359090669339,70.4045572023841,0.759533730681998
"519",16019,7866,24579,226,32671,24.0763980288329,75.2318569985614,0.691744972605675
"520",16021,732,3939,33,4704,15.5612244897959,83.7372448979592,0.701530612244898
"521",16023,114,783,9,906,12.5827814569536,86.4238410596027,0.993377483443709
"522",16025,95,367,4,466,20.3862660944206,78.755364806867,0.858369098712446
"523",16027,12961,36558,435,49954,25.9458702005845,73.1833286623694,0.870801137046082
"524",16029,205,1735,13,1953,10.4966717869944,88.8376856118792,0.665642601126472
"525",16031,584,4619,41,5244,11.1365369946606,88.0816170861937,0.78184591914569
"526",16033,19,161,2,182,10.4395604395604,88.4615384615385,1.0989010989011
"527",16035,526,2389,14,2929,17.9583475588938,81.5636736087402,0.477978832365995
"528",16037,359,1447,11,1817,19.7578425976885,79.6367638965327,0.605393505778756
"529",16039,1334,4380,62,5776,23.095567867036,75.8310249307479,1.07340720221607
"530",16041,302,3588,23,3913,7.71786353181702,91.6943521594684,0.587784308714541
"531",16043,480,3399,27,3906,12.2887864823349,87.0199692780338,0.691244239631336
"532",16045,1076,5118,71,6265,17.1747805267358,81.6919393455706,1.13328012769354
"533",16047,609,2941,32,3582,17.001675041876,82.104969290899,0.893355667225014
"534",16049,962,5741,50,6753,14.2455205094032,85.0140678217089,0.740411668887902
"535",16051,836,7396,54,8286,10.0893072652667,89.2589910692735,0.651701665459812
"536",16053,803,3506,33,4342,18.4937816674344,80.7461999078766,0.760018424689083
"537",16055,13404,42115,369,55888,23.9836816490123,75.35606928142,0.660249069567707
"538",16057,6881,7484,125,14490,47.487922705314,51.6494133885438,0.862663906142167
